"","Team","Year","Week","Attendance","Opponent","HomeAway","Win","Date","Temperature","CumalitiveSeasonWins","PreviousSeasonWinningPerc","DivisionGame","t","Date2","Lag1Win","Lag2Win","Past2Win","Past3Win","PrevWinPercCat","Momentum","WeekGroup"
"57","Chicago Bears",2011,6,"62322","Vikings","Home","W","10/16/11",55,2,0.688,1,"2011_6",2011-10-16,0,1,0,0,"high","low","early"
"61","Chicago Bears",2011,10,"62396","Lions","Home","W","11/13/11",59,5,0.688,1,"2011_10",2011-11-13,1,1,1,1,"high","med","middle"
"62","Chicago Bears",2011,11,"62344","Chargers","Home","W","11/20/11",47,6,0.688,0,"2011_11",2011-11-20,1,1,1,1,"high","med","middle"
"64","Chicago Bears",2011,13,"61973","Chiefs","Home","L","12/4/11",44,7,0.688,0,"2011_13",2011-12-04,0,1,0,0,"high","med","middle"
"66","Chicago Bears",2011,15,"61542","Seahawks","Home","L","12/18/11",35,7,0.688,0,"2011_15",2011-12-18,0,0,0,0,"high","med","late"
"69","Chicago Bears",2012,1,"62341","Colts","Home","W","9/9/12",64,0,0.5,0,"2012_1",2012-09-09,0,0,0,0,"mid","low","early"
"71","Chicago Bears",2012,3,"62224","Rams","Home","W","9/23/12",51,1,0.5,0,"2012_3",2012-09-23,0,1,0,0,"mid","low","early"
"75","Chicago Bears",2012,7,"62300","Lions","Home","W","10/22/12",57,4,0.5,1,"2012_7",2012-10-22,1,1,1,1,"mid","low","middle"
"76","Chicago Bears",2012,8,"62254","Panthers","Home","W","10/28/12",44,5,0.5,0,"2012_8",2012-10-28,1,1,1,1,"mid","med","middle"
"78","Chicago Bears",2012,10,"62410","Texans","Home","L","11/11/12",55,7,0.5,0,"2012_10",2012-11-11,1,1,1,1,"mid","med","middle"
"80","Chicago Bears",2012,12,"62306","Vikings","Home","W","11/25/12",36,7,0.5,1,"2012_12",2012-11-25,0,0,0,0,"mid","med","middle"
"81","Chicago Bears",2012,13,"62264","Seahawks","Home","L","12/2/12",54,8,0.5,0,"2012_13",2012-12-02,1,0,0,0,"mid","high","middle"
"83","Chicago Bears",2012,15,"62534","Packers","Home","L","12/16/12",44,8,0.5,1,"2012_15",2012-12-16,0,0,0,0,"mid","high","late"
"86","Chicago Bears",2013,1,"62213","Bengals","Home","W","9/8/13",74,0,0.625,0,"2013_1",2013-09-08,0,0,0,0,"high","low","early"
"87","Chicago Bears",2013,2,"62181","Vikings","Home","W","9/15/13",59,1,0.625,1,"2013_2",2013-09-15,1,0,0,0,"high","low","early"
"90","Chicago Bears",2013,5,"62361","Saints","Home","L","10/6/13",55,3,0.625,0,"2013_5",2013-10-06,0,1,0,0,"high","low","early"
"91","Chicago Bears",2013,6,"62374","Giants","Home","W","10/10/13",60,3,0.625,0,"2013_6",2013-10-10,0,0,0,0,"high","low","early"
"95","Chicago Bears",2013,10,"62431","Lions","Home","L","11/10/13",42,5,0.625,1,"2013_10",2013-11-10,1,0,0,0,"high","med","middle"
"96","Chicago Bears",2013,11,"62367","Ravens","Home","W","11/17/13",56,5,0.625,0,"2013_11",2013-11-17,0,1,0,0,"high","med","middle"
"99","Chicago Bears",2013,14,"62229","Cowboys","Home","W","12/9/13",13,6,0.625,0,"2013_14",2013-12-09,0,0,0,0,"high","med","late"
"102","Chicago Bears",2013,17,"62708","Packers","Home","L","12/29/13",26,8,0.625,1,"2013_17",2013-12-29,0,1,0,0,"high","high","late"
"103","Chicago Bears",2014,1,"62425","Bills","Home","L","9/7/14",67,0,0.5,0,"2014_1",2014-09-07,0,0,0,0,"mid","low","early"
"106","Chicago Bears",2014,4,"61736","Packers","Home","L","9/28/14",66,2,0.5,1,"2014_4",2014-09-28,1,1,1,0,"mid","low","early"
"109","Chicago Bears",2014,7,"62413","Dolphins","Home","L","10/19/14",44,3,0.5,0,"2014_7",2014-10-19,1,0,0,0,"mid","low","middle"
"113","Chicago Bears",2014,11,"61792","Vikings","Home","W","11/16/14",25,3,0.5,1,"2014_11",2014-11-16,0,0,0,0,"mid","low","middle"
"114","Chicago Bears",2014,12,"61109","Buccaneers","Home","W","11/23/14",50,4,0.5,0,"2014_12",2014-11-23,1,0,0,0,"mid","low","middle"
"116","Chicago Bears",2014,14,"61558","Cowboys","Home","L","12/4/14",29,5,0.5,0,"2014_14",2014-12-04,0,1,0,0,"mid","med","late"
"117","Chicago Bears",2014,15,"60996","Saints","Home","L","12/15/14",44,5,0.5,0,"2014_15",2014-12-15,0,0,0,0,"mid","med","late"
"118","Chicago Bears",2014,16,"61420","Lions","Home","L","12/21/14",34,5,0.5,1,"2014_16",2014-12-21,0,0,0,0,"mid","med","late"
"120","Chicago Bears",2015,1,"62442","Packers","Home","L","9/13/15",59,0,0.313,1,"2015_1",2015-09-13,0,0,0,0,"low","low","early"
"121","Chicago Bears",2015,2,"62351","Cardinals","Home","L","9/20/15",62,0,0.313,0,"2015_2",2015-09-20,0,0,0,0,"low","low","early"
"123","Chicago Bears",2015,4,"62409","Raiders","Home","W","10/4/15",54,0,0.313,0,"2015_4",2015-10-04,0,0,0,0,"low","low","early"
"127","Chicago Bears",2015,8,"62311","Vikings","Home","L","11/1/15",54,2,0.313,1,"2015_8",2015-11-01,0,1,0,0,"low","low","middle"
"130","Chicago Bears",2015,11,"62483","Broncos","Home","L","11/22/15",17,4,0.313,0,"2015_11",2015-11-22,1,1,1,0,"low","low","middle"
"132","Chicago Bears",2015,13,"62088","49ers","Home","L","12/6/15",37,5,0.313,0,"2015_13",2015-12-06,1,0,0,0,"low","med","middle"
"133","Chicago Bears",2015,14,"61026","Redskins","Home","L","12/13/15",55,5,0.313,0,"2015_14",2015-12-13,0,1,0,0,"low","med","late"
"136","Chicago Bears",2015,17,"61177","Lions","Home","L","1/3/16",26,6,0.313,1,"2015_17",2016-01-03,1,0,0,0,"low","med","late"
"138","Chicago Bears",2016,2,"62268","Eagles","Home","L","9/19/16",72,0,0.375,0,"2016_2",2016-09-19,0,0,0,0,"low","low","early"
"140","Chicago Bears",2016,4,"60841","Lions","Home","W","10/2/16",61,0,0.375,1,"2016_4",2016-10-02,0,0,0,0,"low","low","early"
"142","Chicago Bears",2016,6,"61054","Jaguars","Home","L","10/16/16",69,1,0.375,0,"2016_6",2016-10-16,0,1,0,0,"low","low","early"
"144","Chicago Bears",2016,8,"60422","Vikings","Home","W","10/31/16",48,1,0.375,1,"2016_8",2016-10-31,0,0,0,0,"low","low","middle"
"148","Chicago Bears",2016,12,"59494","Titans","Home","L","11/27/16",38,2,0.375,0,"2016_12",2016-11-27,0,0,0,0,"low","low","middle"
"149","Chicago Bears",2016,13,"59782","49ers","Home","W","12/4/16",30,2,0.375,0,"2016_13",2016-12-04,0,0,0,0,"low","low","middle"
"151","Chicago Bears",2016,15,"61137","Packers","Home","L","12/18/16",6,3,0.375,1,"2016_15",2016-12-18,0,1,0,0,"low","low","late"
"152","Chicago Bears",2016,16,"57953","Redskins","Home","L","12/24/16",36,3,0.375,0,"2016_16",2016-12-24,0,0,0,0,"low","low","late"
