"","Team","Year","Week","Attendance","Opponent","HomeAway","Win","Date","CumalitiveSeasonWins","PreviousSeasonWinningPerc","t","Date2","Lag1Win","Lag2Win","Past2Win","Past3Win","PrevWinPercCat","Momentum","WeekGroup"
"112","Buffalo Bills",2010,10,"56721","Lions","Home","W","11/14/10",0,0.375,"2010_10",2010-11-14,0,0,0,0,"mid","low","middle"
"116","Buffalo Bills",2010,14,"50861","Browns","Home","W","12/12/10",2,0.375,"2010_14",2010-12-12,0,0,0,0,"mid","low","late"
"118","Buffalo Bills",2010,16,"68281","patriots","Home","L","12/26/10",4,0.375,"2010_16",2010-12-26,1,1,1,0,"mid","med","late"
"121","Buffalo Bills",2009,2,"70318","Buccaneers","Home","W","9/20/09",0,0.4375,"2009_2",2009-09-20,0,0,0,0,"mid","low","early"
"122","Buffalo Bills",2009,3,"70261","Saints","Home","L","9/27/09",1,0.4375,"2009_3",2009-09-27,1,0,0,0,"mid","low","early"
"124","Buffalo Bills",2009,5,"70526","Borwns","Home","L","10/11/09",1,0.4375,"2009_5",2009-10-11,0,0,0,0,"mid","low","early"
"127","Buffalo Bills",2009,8,"69790","Texans","Home","L","11/1/09",3,0.4375,"2009_8",2009-11-01,1,1,1,0,"mid","low","middle"
"131","Buffalo Bills",2009,12,"70155","Dolphins","Home","W","11/29/09",3,0.4375,"2009_12",2009-11-29,0,0,0,0,"mid","low","middle"
"134","Buffalo Bills",2009,15,"70000","Patiots","Home","L","12/20/09",5,0.4375,"2009_15",2009-12-20,1,0,0,0,"mid","med","late"
"136","Buffalo Bills",2009,17,"69848","Colts","Home","W","1/3/10",5,0.4375,"2009_17",2010-01-03,0,0,0,0,"mid","med","late"
"137","Buffalo Bills",2008,1,"71194","Seahawks","Home","W","9/7/08",0,0.4375,"2008_1",2008-09-07,0,0,0,0,"mid","low","early"
"139","Buffalo Bills",2008,3,"71297","Raiders","Home","W","9/21/08",2,0.4375,"2008_3",2008-09-21,1,1,1,1,"mid","low","early"
"143","Buffalo Bills",2008,7,"71602","Chargers","Home","W","10/19/08",4,0.4375,"2008_7",2008-10-19,0,1,0,0,"mid","med","middle"
"145","Buffalo Bills",2008,9,"71827","Jets","Home","L","11/2/08",5,0.4375,"2008_9",2008-11-02,0,1,0,0,"mid","med","middle"
"147","Buffalo Bills",2008,11,"71645","Browns","Home","L","11/17/08",5,0.4375,"2008_11",2008-11-17,0,0,0,0,"mid","med","middle"
"149","Buffalo Bills",2008,13,"70988","49ers","Home","L","11/30/08",6,0.4375,"2008_13",2008-11-30,1,0,0,0,"mid","high","middle"
"153","Buffalo Bills",2008,17,"71282","Patriots","Home","L","12/28/08",7,0.4375,"2008_17",2008-12-28,1,0,0,0,"mid","high","late"
