"","Team","Year","Week","Attendance","Opponent","HomeAway","Win","Date","CumalitiveSeasonWins","PreviousSeasonWinningPerc","t","Date2","Lag1Win","Lag2Win","Past2Win","Past3Win","PrevWinPercCat","Momentum","WeekGroup"
"61","Buffalo Bills",2013,10,"60406","Steelers","Away","L","11/10/13",3,0.375,"2013_10",2013-11-10,0,0,0,0,"mid","low","middle"
"64","Buffalo Bills",2013,13,"38969","Falcons","Away","L","12/1/13",4,0.375,"2013_13",2013-12-01,1,0,0,0,"mid","med","middle"
"65","Buffalo Bills",2013,14,"59194","Buccaneers","Away","L","12/8/13",4,0.375,"2013_14",2013-12-08,0,1,0,0,"mid","med","late"
"66","Buffalo Bills",2013,15,"60085","Jaguars","Away","W","12/15/13",4,0.375,"2013_15",2013-12-15,0,0,0,0,"mid","med","late"
"68","Buffalo Bills",2013,17,"68756","Patriots","Away","L","12/29/13",6,0.375,"2013_17",2013-12-29,1,1,1,0,"mid","high","late"
"69","Buffalo Bills",2012,1,"79088","Jets","Away","L","9/9/12",0,0.375,"2012_1",2012-09-09,0,0,0,0,"mid","low","early"
"71","Buffalo Bills",2012,3,"69353","Browns","Away","W","9/23/12",1,0.375,"2012_3",2012-09-23,1,0,0,0,"mid","low","early"
"73","Buffalo Bills",2012,5,"69732","49ers","Away","L","10/7/12",2,0.375,"2012_5",2012-10-07,0,1,0,0,"mid","low","early"
"74","Buffalo Bills",2012,6,"60385","Cardinals","Away","W","10/14/12",2,0.375,"2012_6",2012-10-14,0,0,0,0,"mid","low","early"
"77","Buffalo Bills",2012,9,"71698","Texans","Away","L","11/4/12",3,0.375,"2012_9",2012-11-04,0,1,0,0,"mid","low","middle"
"78","Buffalo Bills",2012,10,"68756","Patriots","Away","L","11/11/12",3,0.375,"2012_10",2012-11-11,0,0,0,0,"mid","low","middle"
"80","Buffalo Bills",2012,12,"64366","Colts","Away","L","11/25/12",4,0.375,"2012_12",2012-11-25,1,0,0,0,"mid","med","middle"
"83","Buffalo Bills",2012,15,"40770","Seahawks","Away","L","12/16/12",5,0.375,"2012_15",2012-12-16,0,1,0,0,"mid","med","late"
"84","Buffalo Bills",2012,16,"54462","Dolphins","Away","L","12/23/12",5,0.375,"2012_16",2012-12-23,0,0,0,0,"mid","med","late"
"86","Buffalo Bills",2011,1,"68755","Cheifs","Away","W","9/11/11",0,0.25,"2011_1",2011-09-11,0,0,0,0,"low","low","early"
"89","Buffalo Bills",2011,4,"41142","Bengals","Away","L","10/2/11",3,0.25,"2011_4",2011-10-02,1,1,1,1,"low","low","early"
"91","Buffalo Bills",2011,6,"79243","Giants","Away","L","10/16/11",4,0.25,"2011_6",2011-10-16,1,0,0,0,"low","med","early"
"93","Buffalo Bills",2011,8,"51579","Redskins","Away","W","10/30/11",4,0.25,"2011_8",2011-10-30,0,1,0,0,"low","med","middle"
"95","Buffalo Bills",2011,10,"85157","Cowboys","Away","L","11/13/11",5,0.25,"2011_10",2011-11-13,0,1,0,0,"low","med","middle"
"96","Buffalo Bills",2011,11,"57531","Dolphins","Away","L","11/20/11",5,0.25,"2011_11",2011-11-20,0,0,0,0,"low","med","middle"
"97","Buffalo Bills",2011,12,"79088","Jets","Away","L","11/27/11",5,0.25,"2011_12",2011-11-27,0,0,0,0,"low","med","middle"
"99","Buffalo Bills",2011,14,"62494","Chargers","Away","L","12/11/11",5,0.25,"2011_14",2011-12-11,0,0,0,0,"low","med","late"
"102","Buffalo Bills",2011,17,"68756","Patriots","Away","L","1/1/12",6,0.25,"2011_17",2012-01-01,1,0,0,0,"low","high","late"
"104","Buffalo Bills",2010,2,"70741","Packers","Away","L","9/19/10",0,0.375,"2010_2",2010-09-19,0,0,0,0,"mid","low","early"
"105","Buffalo Bills",2010,3,"68756","Patriots","Away","L","9/26/10",0,0.375,"2010_3",2010-09-26,0,0,0,0,"mid","low","early"
"109","Buffalo Bills",2010,7,"71220","Ravens","Away","L","10/24/10",0,0.375,"2010_7",2010-10-24,0,0,0,0,"mid","low","middle"
"110","Buffalo Bills",2010,8,"66625","Chiefs","Away","L","10/31/10",0,0.375,"2010_8",2010-10-31,0,0,0,0,"mid","low","middle"
"111","Buffalo Bills",2010,9,"50746","Bears","Away","L","11/7/10",0,0.375,"2010_9",2010-11-07,0,0,0,0,"mid","low","middle"
"113","Buffalo Bills",2010,11,"55654","Bengals","Away","W","11/21/10",1,0.375,"2010_11",2010-11-21,1,0,0,0,"mid","low","middle"
"114","Buffalo Bills",2010,12,"69642","Steelers","Away","L","11/28/10",2,0.375,"2010_12",2010-11-28,1,1,1,0,"mid","low","middle"
"115","Buffalo Bills",2010,13,"64012","Vikings","Away","L","12/5/10",2,0.375,"2010_13",2010-12-05,0,1,0,0,"mid","low","middle"
"117","Buffalo Bills",2010,15,"65511","Dolphins","Away","W","12/19/10",3,0.375,"2010_15",2010-12-19,1,0,0,0,"mid","low","late"
"119","Buffalo Bills",2010,17,"79019","Jets","Away","L","1/2/11",4,0.375,"2010_17",2011-01-02,0,1,0,0,"mid","med","late"
"120","Buffalo Bills",2009,1,"68756","Patriots","Away","L","9/14/09",0,0.4375,"2009_1",2009-09-14,0,0,0,0,"mid","low","early"
"123","Buffalo Bills",2009,4,"65523","Dolphins","Away","L","10/4/09",1,0.4375,"2009_4",2009-10-04,0,1,0,0,"mid","low","early"
"125","Buffalo Bills",2009,6,"76048","Jets","Away","W","10/18/09",1,0.4375,"2009_6",2009-10-18,0,0,0,0,"mid","low","early"
"126","Buffalo Bills",2009,7,"73497","panthers","Away","W","10/25/09",2,0.4375,"2009_7",2009-10-25,1,0,0,0,"mid","low","middle"
"129","Buffalo Bills",2009,10,"69143","Titans","Away","L","11/15/09",3,0.4375,"2009_10",2009-11-15,0,1,0,0,"mid","low","middle"
"130","Buffalo Bills",2009,11,"47757","Jaguars","Away","L","11/22/09",3,0.4375,"2009_11",2009-11-22,0,0,0,0,"mid","low","middle"
"132","Buffalo Bills",2009,13,"51567","Jets","Away","L","12/3/09",4,0.4375,"2009_13",2009-12-03,1,0,0,0,"mid","med","middle"
"133","Buffalo Bills",2009,14,"68668","Chiefs","Away","W","12/13/09",4,0.4375,"2009_14",2009-12-13,0,1,0,0,"mid","med","late"
"135","Buffalo Bills",2009,16,"68887","Falcons","Away","L","12/27/09",5,0.4375,"2009_16",2009-12-27,0,1,0,0,"mid","med","late"
"138","Buffalo Bills",2008,2,"65167","Jaguars","Away","W","9/14/08",1,0.4375,"2008_2",2008-09-14,1,0,0,0,"mid","low","early"
"140","Buffalo Bills",2008,4,"61017","Rams","Away","W","9/28/08",3,0.4375,"2008_4",2008-09-28,1,1,1,1,"mid","low","early"
"141","Buffalo Bills",2008,5,"63830","Cardinals","Away","L","10/5/08",4,0.4375,"2008_5",2008-10-05,1,1,1,1,"mid","med","early"
"144","Buffalo Bills",2008,8,"65011","Dolphins","Away","L","10/26/08",5,0.4375,"2008_8",2008-10-26,1,0,0,0,"mid","med","middle"
"146","Buffalo Bills",2008,10,"68756","Patriots","Away","L","11/9/08",5,0.4375,"2008_10",2008-11-09,0,0,0,0,"mid","med","middle"
"148","Buffalo Bills",2008,12,"73584","Chiefs","Away","W","11/23/08",5,0.4375,"2008_12",2008-11-23,0,0,0,0,"mid","med","middle"
"150","Buffalo Bills",2008,14,"52134","Dolphins","Away","L","12/7/08",6,0.4375,"2008_14",2008-12-07,0,1,0,0,"mid","high","late"
"151","Buffalo Bills",2008,15,"78548","Jets","Away","L","12/14/08",6,0.4375,"2008_15",2008-12-14,0,0,0,0,"mid","high","late"
"152","Buffalo Bills",2008,16,"74539","Broncos","Away","W","12/21/08",6,0.4375,"2008_16",2008-12-21,0,0,0,0,"mid","high","late"
